conc	day	run	replicate	y
Placebo	1	1	1	1.05
Placebo	2	1	1	1.17
Placebo	3	1	1	1.09
Placebo	4	1	1	1.04
Placebo	5	1	1	1.03
Placebo	6	1	1	1.05
Placebo	7	1	1	0.96
Placebo	8	1	1	1.24
Placebo	9	1	1	1.22
Placebo	10	1	1	1.05
Placebo	11	1	1	1.09
Placebo	12	1	1	1.05
Placebo	13	1	1	0.87
Placebo	14	1	1	0.9
Placebo	15	1	1	1.01
Placebo	16	1	1	1.15
Placebo	17	1	1	0.99
Placebo	18	1	1	0.87
Placebo	19	1	1	1.3
Placebo	20	1	1	0.91
Placebo	1	2	1	0.71
Placebo	2	2	1	1.03
Placebo	3	2	1	0.87
Placebo	4	2	1	1.22
Placebo	5	2	1	1.1
Placebo	6	2	1	0.8
Placebo	7	2	1	0.8
Placebo	8	2	1	0.9
Placebo	9	2	1	0.98
Placebo	10	2	1	0.77
Placebo	11	2	1	0.86
Placebo	12	2	1	1.17
Placebo	13	2	1	1.08
Placebo	14	2	1	0.68
Placebo	15	2	1	1.31
Placebo	16	2	1	0.87
Placebo	17	2	1	1.2
Placebo	18	2	1	0.87
Placebo	19	2	1	1.13
Placebo	20	2	1	1.26
Placebo	1	1	2	1.37
Placebo	2	1	2	0.87
Placebo	3	1	2	1.33
Placebo	4	1	2	0.83
Placebo	5	1	2	1.14
Placebo	6	1	2	1.42
Placebo	7	1	2	0.65
Placebo	8	1	2	1.05
Placebo	9	1	2	1.16
Placebo	10	1	2	0.97
Placebo	11	1	2	1.04
Placebo	12	1	2	1.07
Placebo	13	1	2	1.04
Placebo	14	1	2	0.89
Placebo	15	1	2	1.13
Placebo	16	1	2	0.71
Placebo	17	1	2	1.09
Placebo	18	1	2	1.09
Placebo	19	1	2	0.92
Placebo	20	1	2	0.91
Placebo	1	2	2	1.03
Placebo	2	2	2	1.07
Placebo	3	2	2	1.27
Placebo	4	2	2	1.02
Placebo	5	2	2	0.92
Placebo	6	2	2	0.69
Placebo	7	2	2	0.51
Placebo	8	2	2	0.93
Placebo	9	2	2	0.97
Placebo	10	2	2	1.28
Placebo	11	2	2	0.94
Placebo	12	2	2	0.91
Placebo	13	2	2	1.16
Placebo	14	2	2	1.13
Placebo	15	2	2	1.09
Placebo	16	2	2	0.93
Placebo	17	2	2	0.69
Placebo	18	2	2	0.9
Placebo	19	2	2	1.46
Placebo	20	2	2	0.89
Placebo	1	1	3	0.72
Placebo	2	1	3	0.83
Placebo	3	1	3	0.82
Placebo	4	1	3	0.89
Placebo	5	1	3	1.11
Placebo	6	1	3	0.88
Placebo	7	1	3	1.05
Placebo	8	1	3	0.96
Placebo	9	1	3	1.33
Placebo	10	1	3	1.13
Placebo	11	1	3	0.71
Placebo	12	1	3	1.17
Placebo	13	1	3	1.04
Placebo	14	1	3	0.67
Placebo	15	1	3	0.74
Placebo	16	1	3	0.87
Placebo	17	1	3	0.87
Placebo	18	1	3	0.89
Placebo	19	1	3	0.85
Placebo	20	1	3	0.73
Placebo	1	2	3	1.3
Placebo	2	2	3	0.84
Placebo	3	2	3	0.94
Placebo	4	2	3	0.82
Placebo	5	2	3	0.8
Placebo	6	2	3	1.09
Placebo	7	2	3	1.06
Placebo	8	2	3	1.36
Placebo	9	2	3	1.15
Placebo	10	2	3	0.93
Placebo	11	2	3	0.9
Placebo	12	2	3	0.68
Placebo	13	2	3	0.66
Placebo	14	2	3	1.2
Placebo	15	2	3	1.07
Placebo	16	2	3	1.07
Placebo	17	2	3	0.9
Placebo	18	2	3	0.93
Placebo	19	2	3	1.02
Placebo	20	2	3	1.16
Low_Dose	1	1	1	8.12
Low_Dose	2	1	1	3.04
Low_Dose	3	1	1	5.41
Low_Dose	4	1	1	6.02
Low_Dose	5	1	1	4.45
Low_Dose	6	1	1	4.41
Low_Dose	7	1	1	5.52
Low_Dose	8	1	1	3.52
Low_Dose	9	1	1	9.62
Low_Dose	10	1	1	6.21
Low_Dose	11	1	1	5.17
Low_Dose	12	1	1	6.1
Low_Dose	13	1	1	5.09
Low_Dose	14	1	1	6.15
Low_Dose	15	1	1	8.03
Low_Dose	16	1	1	4.28
Low_Dose	17	1	1	5.64
Low_Dose	18	1	1	6.65
Low_Dose	19	1	1	5.36
Low_Dose	20	1	1	6.76
Low_Dose	1	2	1	10.44
Low_Dose	2	2	1	6.4
Low_Dose	3	2	1	8.51
Low_Dose	4	2	1	4.65
Low_Dose	5	2	1	5.51
Low_Dose	6	2	1	6.61
Low_Dose	7	2	1	5.14
Low_Dose	8	2	1	7.24
Low_Dose	9	2	1	4.67
Low_Dose	10	2	1	5.27
Low_Dose	11	2	1	5.96
Low_Dose	12	2	1	4.43
Low_Dose	13	2	1	4.3
Low_Dose	14	2	1	5.93
Low_Dose	15	2	1	3.96
Low_Dose	16	2	1	3.25
Low_Dose	17	2	1	6.25
Low_Dose	18	2	1	3.43
Low_Dose	19	2	1	5.09
Low_Dose	20	2	1	5.56
Low_Dose	1	1	2	2.86
Low_Dose	2	1	2	7.08
Low_Dose	3	1	2	5.39
Low_Dose	4	1	2	5.45
Low_Dose	5	1	2	4.53
Low_Dose	6	1	2	4.48
Low_Dose	7	1	2	7.33
Low_Dose	8	1	2	6.43
Low_Dose	9	1	2	4.37
Low_Dose	10	1	2	2.54
Low_Dose	11	1	2	5.95
Low_Dose	12	1	2	8.18
Low_Dose	13	1	2	5.93
Low_Dose	14	1	2	5.72
Low_Dose	15	1	2	3.58
Low_Dose	16	1	2	4.75
Low_Dose	17	1	2	3.83
Low_Dose	18	1	2	6.99
Low_Dose	19	1	2	5.41
Low_Dose	20	1	2	4.65
Low_Dose	1	2	2	5.13
Low_Dose	2	2	2	6.13
Low_Dose	3	2	2	5.88
Low_Dose	4	2	2	6.68
Low_Dose	5	2	2	6.05
Low_Dose	6	2	2	7.26
Low_Dose	7	2	2	4.16
Low_Dose	8	2	2	5.9
Low_Dose	9	2	2	5.62
Low_Dose	10	2	2	5.78
Low_Dose	11	2	2	6.72
Low_Dose	12	2	2	7.6
Low_Dose	13	2	2	4.83
Low_Dose	14	2	2	8.43
Low_Dose	15	2	2	5.49
Low_Dose	16	2	2	4.17
Low_Dose	17	2	2	5.33
Low_Dose	18	2	2	4.98
Low_Dose	19	2	2	4.5
Low_Dose	20	2	2	3.35
Low_Dose	1	1	3	5.59
Low_Dose	2	1	3	5.25
Low_Dose	3	1	3	8
Low_Dose	4	1	3	6.83
Low_Dose	5	1	3	4.13
Low_Dose	6	1	3	7.05
Low_Dose	7	1	3	5.16
Low_Dose	8	1	3	6.19
Low_Dose	9	1	3	4.56
Low_Dose	10	1	3	7.82
Low_Dose	11	1	3	5.11
Low_Dose	12	1	3	5.62
Low_Dose	13	1	3	6.11
Low_Dose	14	1	3	4.38
Low_Dose	15	1	3	3.78
Low_Dose	16	1	3	2.86
Low_Dose	17	1	3	2.41
Low_Dose	18	1	3	5.87
Low_Dose	19	1	3	5.33
Low_Dose	20	1	3	4.48
Low_Dose	1	2	3	7.35
Low_Dose	2	2	3	6.27
Low_Dose	3	2	3	5.79
Low_Dose	4	2	3	6.24
Low_Dose	5	2	3	6.44
Low_Dose	6	2	3	7.3
Low_Dose	7	2	3	5.97
Low_Dose	8	2	3	7.14
Low_Dose	9	2	3	5.72
Low_Dose	10	2	3	5.31
Low_Dose	11	2	3	5.6
Low_Dose	12	2	3	7.34
Low_Dose	13	2	3	3.49
Low_Dose	14	2	3	3.54
Low_Dose	15	2	3	8.17
Low_Dose	16	2	3	8.31
Low_Dose	17	2	3	4.73
Low_Dose	18	2	3	4.91
Low_Dose	19	2	3	4.98
Low_Dose	20	2	3	4.6
High_Dose	1	1	1	13.05
High_Dose	2	1	1	11.81
High_Dose	3	1	1	10.02
High_Dose	4	1	1	11.46
High_Dose	5	1	1	12.96
High_Dose	6	1	1	10.74
High_Dose	7	1	1	10.71
High_Dose	8	1	1	10.47
High_Dose	9	1	1	11.87
High_Dose	10	1	1	11.63
High_Dose	11	1	1	10.18
High_Dose	12	1	1	9.39
High_Dose	13	1	1	8.41
High_Dose	14	1	1	11.28
High_Dose	15	1	1	7.76
High_Dose	16	1	1	15.73
High_Dose	17	1	1	12.21
High_Dose	18	1	1	11.84
High_Dose	19	1	1	12.13
High_Dose	20	1	1	11.41
High_Dose	1	2	1	14.7
High_Dose	2	2	1	8.35
High_Dose	3	2	1	13.12
High_Dose	4	2	1	13.92
High_Dose	5	2	1	8.98
High_Dose	6	2	1	12.19
High_Dose	7	2	1	13.26
High_Dose	8	2	1	10.09
High_Dose	9	2	1	13.95
High_Dose	10	2	1	7.93
High_Dose	11	2	1	15.42
High_Dose	12	2	1	10.39
High_Dose	13	2	1	15.92
High_Dose	14	2	1	11.6
High_Dose	15	2	1	10.4
High_Dose	16	2	1	12.72
High_Dose	17	2	1	9.87
High_Dose	18	2	1	13.04
High_Dose	19	2	1	9.89
High_Dose	20	2	1	12.55
High_Dose	1	1	2	16.85
High_Dose	2	1	2	13.77
High_Dose	3	1	2	10.97
High_Dose	4	1	2	14.13
High_Dose	5	1	2	11.41
High_Dose	6	1	2	14.32
High_Dose	7	1	2	12.26
High_Dose	8	1	2	11.29
High_Dose	9	1	2	10.95
High_Dose	10	1	2	10.52
High_Dose	11	1	2	10.97
High_Dose	12	1	2	12.95
High_Dose	13	1	2	13.68
High_Dose	14	1	2	9.75
High_Dose	15	1	2	14.35
High_Dose	16	1	2	13
High_Dose	17	1	2	9.75
High_Dose	18	1	2	11.85
High_Dose	19	1	2	12.9
High_Dose	20	1	2	7.16
High_Dose	1	2	2	10.87
High_Dose	2	2	2	10.72
High_Dose	3	2	2	10.03
High_Dose	4	2	2	11.18
High_Dose	5	2	2	10.51
High_Dose	6	2	2	12.46
High_Dose	7	2	2	13.29
High_Dose	8	2	2	10.34
High_Dose	9	2	2	12.83
High_Dose	10	2	2	8.19
High_Dose	11	2	2	7.21
High_Dose	12	2	2	10.67
High_Dose	13	2	2	10.87
High_Dose	14	2	2	11.44
High_Dose	15	2	2	12.57
High_Dose	16	2	2	10.42
High_Dose	17	2	2	13.16
High_Dose	18	2	2	13.29
High_Dose	19	2	2	10.02
High_Dose	20	2	2	12.04
High_Dose	1	1	3	14.25
High_Dose	2	1	3	12.74
High_Dose	3	1	3	14.74
High_Dose	4	1	3	11.42
High_Dose	5	1	3	12.59
High_Dose	6	1	3	11.47
High_Dose	7	1	3	10.44
High_Dose	8	1	3	10.38
High_Dose	9	1	3	9.98
High_Dose	10	1	3	14.76
High_Dose	11	1	3	8.78
High_Dose	12	1	3	12.4
High_Dose	13	1	3	13
High_Dose	14	1	3	14.43
High_Dose	15	1	3	8.03
High_Dose	16	1	3	14.66
High_Dose	17	1	3	10.55
High_Dose	18	1	3	14.64
High_Dose	19	1	3	11.37
High_Dose	20	1	3	15.58
High_Dose	1	2	3	11.71
High_Dose	2	2	3	9.89
High_Dose	3	2	3	11.42
High_Dose	4	2	3	15.45
High_Dose	5	2	3	12.04
